StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q2,TenBad_1,TenBad_2,FortyFiveBad_1,FortyFiveBad_2,FortyFivegood_1,FortyFivegood_2,TenGood_1,TenGood_2
2023-04-19 11:14:35,2023-04-19 11:21:12,IP Address,131.229.193.163,100,396,True,2023-04-19 11:21:13,R_3PCfURu821tPE7Q,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,
2023-04-19 11:20:36,2023-04-19 11:23:15,IP Address,131.229.136.136,100,159,True,2023-04-19 11:23:15,R_2P6DzvfVfAL6STq,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,,,Disagree,Neither Agree nor Disagree,,,,
2023-04-19 11:34:53,2023-04-19 11:35:16,IP Address,131.229.197.227,100,22,True,2023-04-19 11:35:17,R_3IbERmnc0MRMy5S,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,,,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,
2023-04-19 12:38:38,2023-04-19 12:39:08,IP Address,131.229.138.219,100,29,True,2023-04-19 12:39:08,R_2TGWcOFhDXCUs0K,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Non-binary / third gender,20-21 years old,Asian,Strong Disagree,Disagree,,,,,,
2023-04-19 12:40:44,2023-04-19 13:02:53,IP Address,131.229.115.128,100,1328,True,2023-04-19 13:02:53,R_Ovc0hlAyAXUQsHD,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Other,20-21 years old,Asian,,,Strong Disagree,Disagree,,,,
2023-04-19 15:18:19,2023-04-19 15:18:59,IP Address,131.229.146.163,100,39,True,2023-04-19 15:19:00,R_2wGITJYUnWYk4qP,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Genderfluid,20-21 years old,White,,,,,,,Strong Agree,Strong Agree
2023-04-19 15:39:40,2023-04-19 15:42:57,IP Address,131.229.158.134,100,196,True,2023-04-19 15:42:58,R_3dQFQiincnCKXJf,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,Black or African American,,,Strong Agree,Strong Agree,,,,
2023-04-19 13:09:20,2023-04-19 19:43:05,IP Address,131.229.237.172,100,23625,True,2023-04-19 19:43:05,R_1Q5RCkgPDujXznE,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,20-21 years old,"Asian,White",,,Disagree,Disagree,,,,
2023-04-19 20:34:04,2023-04-19 20:35:05,IP Address,131.229.234.218,100,61,True,2023-04-19 20:35:05,R_2QA4Xaawq273Izi,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,,,,,Strong Agree,Strong Agree,,
2023-04-19 22:23:33,2023-04-19 22:24:29,IP Address,131.229.192.28,100,56,True,2023-04-19 22:24:29,R_1rcrY3NNrppsQJc,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Asian,,,Disagree,Neither Agree nor Disagree,,,,
2023-04-20 09:17:35,2023-04-20 09:18:11,IP Address,131.229.234.129,100,35,True,2023-04-20 09:18:11,R_2B2uAYDVTa7QcYY,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Asian,,,,,Agree,Agree,,
2023-04-20 09:18:58,2023-04-20 09:19:47,IP Address,131.229.235.53,100,48,True,2023-04-20 09:19:48,R_3qCEhsQl7FuQR6Q,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Asian,,,,,,,Agree,Strong Agree
2023-04-20 09:20:53,2023-04-20 09:21:27,IP Address,131.229.111.55,100,33,True,2023-04-20 09:21:27,R_2QfeG78E26E7xqt,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,,,,,Agree,Agree,,
2023-04-20 09:24:16,2023-04-20 09:24:50,IP Address,131.229.44.111,100,33,True,2023-04-20 09:24:50,R_3P5JPCbXOOWlDaJ,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Asian,,,,,,,Strong Agree,Agree
2023-04-20 09:31:27,2023-04-20 09:33:44,IP Address,131.229.114.76,100,137,True,2023-04-20 09:33:45,R_yWvtYAoeXKPeiad,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,,,Strong Disagree,Disagree,,,,
2023-04-20 09:35:50,2023-04-20 09:36:46,IP Address,131.229.44.114,100,55,True,2023-04-20 09:36:46,R_9HzVKtV4ze9HWP7,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Hispanic or Latino,,,,,,,Agree,Agree
2023-04-20 10:09:00,2023-04-20 10:09:24,IP Address,131.229.44.106,100,24,True,2023-04-20 10:09:25,R_4HqXDHb8HnlcEBr,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Asian,,,,,Strong Agree,Strong Agree,,
2023-04-20 11:32:47,2023-04-20 11:33:31,IP Address,131.229.138.104,100,43,True,2023-04-20 11:33:31,R_25YrCEGW84txJDj,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,Asian,Disagree,Disagree,,,,,,
2023-04-20 12:31:22,2023-04-20 12:31:59,IP Address,131.229.105.156,100,36,True,2023-04-20 12:32:00,R_2zTic7DVe8VVOaa,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,Asian,,,,,Agree,Agree,,
2023-04-20 12:38:46,2023-04-20 12:39:13,IP Address,131.229.149.202,100,26,True,2023-04-20 12:39:13,R_3e2DTuOBqk7uMIX,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Trans male,20-21 years old,White,,,,,Strong Agree,Strong Agree,,
2023-04-20 12:40:19,2023-04-20 12:41:51,IP Address,131.229.194.47,100,91,True,2023-04-20 12:41:52,R_2ykjlUIKYCzkaMr,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Other,20-21 years old,"Asian,White",Strong Disagree,Strong Disagree,,,,,,
2023-04-20 12:43:24,2023-04-20 12:43:51,IP Address,131.229.45.144,100,26,True,2023-04-20 12:43:52,R_3KNEQi2jX0vwv2E,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,,,,,Agree,Agree,,
2023-04-20 12:58:22,2023-04-20 12:59:07,IP Address,131.229.194.37,100,44,True,2023-04-20 12:59:07,R_1l46sUqZy975Uv8,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,Asian,,,,,Agree,Agree,,
2023-04-20 13:39:45,2023-04-20 13:41:00,IP Address,131.229.152.200,100,75,True,2023-04-20 13:41:00,R_22lFGaNAB2hg4Cp,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Non-binary / third gender,20-21 years old,"Asian,White",,,,,,,Agree,Agree
2023-04-20 14:02:12,2023-04-20 14:02:47,IP Address,172.58.219.202,100,34,True,2023-04-20 14:02:47,R_1Lpq9QyfbPyIIGT,,,,,42.415,-71.0527,anonymous,EN,I CONSENT,Cis female,18-19 years old,Black or African American,,,,,,,Strong Agree,Strong Agree
2023-04-20 14:07:41,2023-04-20 14:08:18,IP Address,131.229.152.157,100,36,True,2023-04-20 14:08:18,R_2RPpQCLg2asuCne,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,Asian,,,,,,,Strong Disagree,Strong Disagree
2023-04-20 14:12:22,2023-04-20 14:12:55,IP Address,131.229.239.71,100,33,True,2023-04-20 14:12:56,R_26fO0IUKE78riZD,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,White,Strong Disagree,Strong Disagree,,,,,,
2023-04-20 14:25:27,2023-04-20 14:26:16,IP Address,131.229.151.50,100,48,True,2023-04-20 14:26:16,R_2E9HZ9jDX97IX5U,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Non-binary / third gender,18-19 years old,White,Strong Disagree,Neither Agree nor Disagree,,,,,,
2023-04-20 14:56:14,2023-04-20 14:56:59,IP Address,131.229.196.38,100,44,True,2023-04-20 14:56:59,R_3QYoux2qa7W9n9N,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,Hispanic or Latino,,,Disagree,Disagree,,,,
2023-04-20 14:58:02,2023-04-20 14:59:12,IP Address,131.229.138.95,100,70,True,2023-04-20 14:59:13,R_OQlAC9b9doRBw4x,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Other,20-21 years old,"Asian,White",,,Strong Disagree,Strong Disagree,,,,
2023-04-20 15:10:45,2023-04-20 15:11:09,IP Address,131.229.146.207,100,24,True,2023-04-20 15:11:10,R_11gNmJ3KQhZa4G7,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,,,,,Agree,Agree,,
2023-04-20 15:56:19,2023-04-20 15:57:02,IP Address,24.151.27.79,100,42,True,2023-04-20 15:57:02,R_3NEQVEtWT1fmDpg,,,,,42.3091,-71.8001,anonymous,EN,I CONSENT,Cis female,18-19 years old,Black or African American,,,,,,,Agree,Agree
2023-04-20 17:18:21,2023-04-20 17:19:28,IP Address,131.229.237.7,100,66,True,2023-04-20 17:19:29,R_ZqVgMRdfSnNZwjv,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Non-binary / third gender,18-19 years old,White,Disagree,Disagree,,,,,,
2023-04-20 17:39:28,2023-04-20 17:39:53,IP Address,131.229.239.166,100,25,True,2023-04-20 17:39:53,R_vjWhpiZ6X9SHSoN,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,Neither Agree nor Disagree,Neither Agree nor Disagree,,,,,,
2023-04-20 20:01:18,2023-04-20 20:02:03,IP Address,131.229.149.2,100,44,True,2023-04-20 20:02:03,R_1QzUWfMGBfzJeu7,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,White,,,,,,,Strong Agree,Strong Agree
2023-04-20 21:51:50,2023-04-20 21:52:21,IP Address,131.229.237.175,100,30,True,2023-04-20 21:52:21,R_29p40ASMmhjM1Wf,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,18-19 years old,White,,,,,Strong Agree,Strong Agree,,
2023-04-21 12:22:07,2023-04-21 12:23:20,IP Address,131.229.238.251,100,73,True,2023-04-21 12:23:20,R_2rpz30pzIltBa8Y,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,20-21 years old,White,Disagree,Agree,,,,,,
2023-04-22 17:00:21,2023-04-22 17:00:54,IP Address,131.229.106.235,100,32,True,2023-04-22 17:00:55,R_Zx8FuxhtPFKZilb,,,,,42.3251,-72.6276,anonymous,EN,I CONSENT,Cis female,22 - 24 years old,White,,,,,,,Agree,Agree
2023-04-22 18:05:45,2023-04-22 18:07:37,IP Address,131.229.43.52,100,111,True,2023-04-22 18:07:38,R_3meNtCiL6JKpKmm,,,,,42.3182,-72.6419,anonymous,EN,I CONSENT,Cis female,Older than 24 years old,"Black or African American,White",Disagree,Neither Agree nor Disagree,,,,,,
